Rank,TeamName,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
272,Florida Atlantic,CUSA,10-20,-9.32,98.6,108,68.5,-0.036,-2.42,103.3,105.7,-1.23
273,Saint Louis,A10,12-21,-9.35,95.4,104.8,63.1,0.082,1.35,105.3,104,-4.57
274,Eastern Kentucky,OVC,12-19,-9.47,98.4,107.8,67.2,0.015,-1.63,104.7,106.4,0.62
275,Seattle,WAC,13-17,-9.63,95.6,105.2,67.3,-0.023,-5.01,101,106,-6.42
276,FIU,CUSA,7-24,-9.64,102.9,112.5,64.6,-0.171,-3.65,102,105.6,-4.42
277,Brown,Ivy,13-17,-9.81,104.1,113.9,70.9,0.017,-5.23,101.3,106.5,-9.41
278,Portland,WCC,11-22,-9.95,98.8,108.7,65.5,0.011,1.4,105.2,103.8,-3.71
279,Miami OH,MAC,11-21,-10.09,95.8,105.9,68.2,0.052,-2.08,104.4,106.4,-6.5
280,Alcorn St.,SWAC,18-14,-10.37,95.4,105.8,67.4,0.048,-10.67,98.1,108.8,11.43
281,Bryant,NEC,12-20,-10.37,101.7,112,68.8,-0.014,-6.18,100.7,106.8,3.34
282,NJIT,ASun,11-20,-10.39,98.7,109.1,67.3,0.029,-3,104.7,107.7,-0.06
283,Youngstown St.,Horz,13-21,-10.5,102.5,113,71.4,0.077,-2.24,103.1,105.3,-1.63
284,Cal St. Northridge,BW,11-19,-10.6,104,114.6,72.4,-0.032,-5.96,99.8,105.8,0.71
285,Northern Colorado,BSky,11-18,-10.6,96.5,107.1,68.1,-0.026,-4.29,103.7,108,8.86
286,The Citadel,SC,12-21,-10.74,105.6,116.3,79.4,0.023,-1.05,104.9,105.9,-2
287,Manhattan,MAAC,10-22,-10.85,96.8,107.7,68.6,0,-2.32,103.5,105.8,-0.56
288,Austin Peay,OVC,11-19,-11.08,106,117.1,69.6,0.04,-1.75,104.7,106.5,3.2
289,Delaware,CAA,13-20,-11.09,97.3,108.4,64.5,0.089,0.2,106.4,106.2,-2.94
290,South Florida,Amer,7-23,-11.17,96.5,107.7,68.4,-0.021,1.69,104.1,102.4,-7.61
291,Campbell,BSth,17-17,-11.36,99.3,110.7,65.2,0.035,-7.54,101.2,108.8,-5.06
292,UMass Lowell,AE,11-20,-11.39,104.3,115.6,71.4,-0.036,-6.25,101.1,107.3,-6.6
293,Northwestern St.,Slnd,13-16,-11.45,101,112.4,70.9,0.028,-4.96,101.4,106.4,7.08
294,Sacramento St.,BSky,13-18,-11.49,100.8,112.3,65.2,0.045,-5.48,102.6,108.1,1.99
295,Quinnipiac,MAAC,10-21,-11.69,101.3,113,72.8,0.027,-3.2,102.7,105.9,-3.34
296,Radford,BSth,14-18,-11.7,96.1,107.8,63.6,0.06,-4.01,103.4,107.4,8.94
297,Western Illinois,Sum,8-20,-11.75,97.1,108.8,68.4,-0.035,-1.62,105,106.6,-2.82
298,Norfolk St.,MEAC,17-16,-11.76,93.8,105.6,68.4,0.077,-9.5,99.7,109.2,6.13
299,Pepperdine,WCC,9-22,-11.98,102.1,114.1,68.2,0.026,1.54,105.8,104.3,-1.55
300,Abilene Christian,Slnd,13-16,-12.05,96.7,108.8,65.5,0.049,-5.87,101.7,107.6,1.47
301,Sacred Heart,NEC,13-19,-12.25,97.5,109.7,70.7,0.018,-8.53,99.1,107.6,-5.06
302,Detroit,Horz,8-23,-12.33,102.2,114.5,72.3,0.016,-1.23,103.7,104.9,2.72
303,Incarnate Word,Slnd,12-17,-12.78,101.5,114.3,71.4,0.032,-5.1,101.3,106.4,4.32
304,UT Rio Grande Valley,WAC,10-22,-12.92,100.3,113.2,73.6,-0.037,-3.47,101.7,105.2,-3.15
305,Dartmouth,Ivy,7-20,-12.97,99.2,112.1,67,0.032,-2.87,102.3,105.2,-4.46
306,Hampton,MEAC,14-16,-13.16,93.6,106.8,67.9,0.022,-10.04,98.9,108.9,2.07
307,Cal Poly,BW,11-20,-13.18,99.8,113,65,0.013,-4.19,100.7,104.9,2.64
308,American,Pat,8-22,-13.29,94.8,108.1,64,-0.017,-4.31,101.5,105.8,-4.22
309,Charleston Southern,BSth,12-19,-13.4,103.3,116.7,67.9,0.007,-5.64,101,106.7,4.72
310,Prairie View A&M,SWAC,13-20,-13.49,98,111.5,67.2,-0.017,-8.22,99.6,107.8,12.03
311,Central Arkansas,Slnd,8-24,-13.51,104,117.5,70.7,-0.014,-3.03,103,106,6.9
312,Binghamton,AE,12-20,-13.68,96.2,109.8,65.6,-0.009,-4.99,102.3,107.2,-4.64
313,Nicholls St.,Slnd,14-17,-13.75,100.4,114.2,69.1,0.089,-3.59,103,106.6,8.58
314,UC Riverside,BW,8-21,-13.87,92.1,106,67.5,-0.055,-4.76,101.3,106,1.7
315,Savannah St.,MEAC,13-16,-13.88,100.6,114.5,80.7,0.054,-9.52,98.9,108.5,7.19
316,Marist,MAAC,8-24,-13.89,100.6,114.5,66.5,0.013,-1.92,104.1,106,-0.13
317,McNeese St.,Slnd,7-22,-14.07,96.1,110.2,69.6,-0.057,-3.2,103.3,106.5,8.65
318,SIU Edwardsville,OVC,6-24,-14.15,95,109.1,68.9,-0.041,-2.77,104.3,107,0.38
319,Stetson,ASun,11-21,-14.28,100.9,115.2,72.1,-0.002,-4.8,102.9,107.7,-5.18
320,North Texas,CUSA,8-22,-14.52,96.3,110.8,69.8,-0.08,-4.41,101.5,105.9,-7.93
321,Maryland Eastern Shore,MEAC,14-20,-14.6,97.9,112.5,68.2,0.039,-6.9,100.9,107.8,9.25
322,Western Carolina,SC,9-23,-14.75,90.1,104.9,66.4,0.027,1.66,106.8,105.2,6.61
323,Morgan St.,MEAC,14-16,-15.34,91.2,106.5,67.3,0.038,-12.25,98.2,110.4,-2.96
324,Southern Miss,CUSA,9-22,-15.47,92.9,108.4,65.2,-0.032,-3.1,102.4,105.5,-3.18
325,Southern,SWAC,15-18,-15.59,98.1,113.7,68,0.038,-12.09,96.8,108.9,1.66
326,Northern Arizona,BSky,9-23,-15.64,95,110.7,68.8,-0.016,-6.25,101.7,107.9,-3.37
327,VMI,SC,6-24,-16.02,97.7,113.7,68.7,-0.034,0.27,105.7,105.4,0.78
328,Grambling St.,SWAC,15-17,-16.07,96.6,112.6,66.8,0.049,-11.92,97.6,109.5,-0.42
329,Jackson St.,SWAC,14-18,-16.19,92.7,108.9,64,0.032,-11.41,98.2,109.6,2.52
330,Lafayette,Pat,9-21,-17.24,96.1,113.4,69,0.059,-3.94,100.8,104.8,-3.81
331,UC Santa Barbara,BW,6-22,-18.14,91.3,109.4,63.7,0.009,-2.94,102.1,105,6.58
332,Hartford,AE,9-23,-18.26,92.6,110.8,68.1,0.073,-5.27,102,107.3,-6.32
333,Idaho St.,BSky,6-26,-18.26,97.7,115.9,68.6,-0.053,-2.76,104.1,106.9,4.73
334,Southern Utah,BSky,6-27,-18.59,101.1,119.7,71,-0.014,-5.12,102.1,107.2,-1.07
335,South Carolina St.,MEAC,11-20,-19.23,99.1,118.3,68,0.067,-5.92,100.7,106.6,16.61
336,Chicago St.,WAC,6-26,-19.38,91.9,111.3,66.7,-0.009,1.59,104.5,102.9,5.88
337,Maine,AE,7-25,-19.48,91.1,110.6,67.6,0.005,-3.34,103.5,106.8,-2.7
338,Howard,MEAC,10-24,-19.55,90.5,110.1,67.7,-0.022,-7.43,100.7,108.1,8.84
339,Delaware St.,MEAC,10-22,-19.85,94.2,114.1,65.4,0.007,-8.52,100.6,109.1,3.86
340,Bethune Cookman,MEAC,10-22,-20.2,95,115.3,67.9,-0.011,-11.26,98.6,109.9,-2.18
341,Central Connecticut,NEC,6-23,-21.08,92.8,113.9,64.5,-0.023,-8.06,99.3,107.4,-3.68
